Crop,Variety,Germination Period,Water Needs,Fertilization Needs,Sun Requirements,Common Pests,Growing Season,Companion Plants
Carrots,Cosmic Purple,10-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Peas, Lettuce, Tomatoes"
Parsnip,Hollow Crown,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Peas, Lettuce, Tomatoes"
Parsnip,Javelin,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Peas, Lettuce, Tomatoes"
Parsnip,White Gem,14-21 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Carrot Rust Fly, Aphids","Spring, Fall","Peas, Lettuce, Tomatoes"
Turnip,Purple Top White Globe,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Aphids","Spring, Fall","Peas, Beans, Cabbage"
Turnip,Golden Ball,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Aphids","Spring, Fall","Peas, Beans, Cabbage"
Turnip,Tokyo Cross,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Flea Beetles, Aphids","Spring, Fall","Peas, Beans, Cabbage"
Onion,Yellow Sweet Spanish,10-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Lettuce, Beets"
Onion,Red Baron,10-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Lettuce, Beets"
Onion,White Lisbon,10-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Lettuce, Beets"
Garlic,Hardneck,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Garlic Rust","Fall, Winter, Spring","Carrots, Lettuce, Beets"
Garlic,Softneck,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Garlic Rust","Fall, Winter, Spring","Carrots, Lettuce, Beets"
Garlic,Elephant,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Garlic Rust","Fall, Winter, Spring","Carrots, Lettuce, Beets"
Shallot,Dutch Yellow,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Lettuce, Beets"
Shallot,Red Sun,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Lettuce, Beets"
Shallot,Ambition,7-14 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Onion Thrips, Leaf Miners","Spring, Summer, Fall","Carrots, Lettuce, Beets"
Kale,Curly,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Kale,Lacinato,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Kale,Red Russian,7-10 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Cabbage Worms","Spring, Fall","Onions, Celery, Carrots"
Parsley,Italian Flat Leaf,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Parsley Worm","Spring, Summer, Fall","Tomatoes, Carrots, Asparagus"
Parsley,Curly Leaf,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Parsley Worm","Spring, Summer, Fall","Tomatoes, Carrots, Asparagus"
Parsley,Hamburg Rooted,14-28 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Parsley Worm","Spring, Summer, Fall","Tomatoes, Carrots, Asparagus"
Cilantro,Santo,7-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer, Fall","Tomatoes, Peppers, Basil"
Cilantro,Calypso,7-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer, Fall","Tomatoes, Peppers, Basil"
Cilantro,Leisure,7-10 days,Moderate,Light feeding with balanced fertilizer,Full Sun (6-8 hours),"Aphids, Spider Mites","Spring, Summer, Fall","Tomatoes, Peppers, Basil"
Fennel,Florence,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Summer, Fall","Lettuce, Cucumbers, Dill"
Fennel,Bronze,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Summer, Fall","Lettuce, Cucumbers, Dill"
Fennel,Sweet,7-14 days,Moderate,Balanced fertilizer every 2-4 weeks,Full Sun (6-8 hours),"Aphids, Whiteflies","Spring, Summer, Fall","Lettuce, Cucumbers, Dill"
